"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Chemoil Corporation","Glencore","$27,000,000","$0","$27,000,000","2016","20160929","environment-related offenses","environmental violation","","The Department of Justice and the U.S. Environmental Protection Agency announced a settlement with Chemoil Corporation that required the company to retire 65 million renewable fuel credits to resolve alleged violations of the Renewable Fuel Standard (RFS) program.  Chemoil was also required to pay a $27 million civil penalty.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","https://www.justice.gov/opa/pr/chemoil-agrees-pay-civil-penalty-27-million-and-retire-total-more-71-million-credits",""
"Chemoil Terminals Corporation","Glencore","$9,000","$0","$9,000","2008","20080709","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","http://www3.aqmd.gov/hb/2008/November/081119a.htm",""
"Glencore Ltd.","Glencore","$98,954","$0","$98,954","2013","20130612","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","EF-2013-8020","","","Connecticut","STAMFORD","301 TRESSER BLVD","06901","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"CHEMOIL CORPORATION","Glencore","$27,000,000","$27,000,000","$0","2016","20161205","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","EF-2015-0010","","","California","SAN FRANCISCO","4 EMBARCADERO CENTER STE 3400","94111","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"Sherwin Alumina Company, LLC","Glencore","$5,000","$0","$5,000","2001","20011107","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$25,000","$0","$25,000","2002","20020816","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$6,458","$0","$6,458","2007","20070823","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$27,259","$0","$27,259","2007","20071031","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$29,529","$0","$29,529","2007","20070821","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$6,996","$0","$6,996","2007","20070821","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$36,800","$0","$36,800","2004","20041222","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$9,634","$0","$9,634","2007","20070828","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$14,743","$0","$14,743","2008","20081216","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$15,900","$0","$15,900","2010","20100503","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$6,624","$0","$6,624","2010","20100511","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$5,080","$0","$5,080","2009","20090610","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$5,000","$0","$5,000","2009","20090205","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$5,080","$0","$5,080","2009","20090610","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$13,268","$0","$13,268","2008","20080227","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$5,504","$0","$5,504","2010","20100111","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$5,211","$0","$5,211","2009","20090114","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$9,634","$0","$9,634","2009","20090616","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$9,634","$0","$9,634","2009","20090611","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$6,458","$0","$6,458","2008","20080221","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$6,996","$0","$6,996","2008","20081216","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$5,961","$0","$5,961","2010","20100112","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$5,961","$0","$5,961","2010","20100112","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$5,080","$0","$5,080","2009","20090211","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$13,268","$0","$13,268","2009","20090128","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$5,504","$0","$5,504","2010","20100111","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$18,271","$0","$18,271","2009","20090113","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$10,705","$0","$10,705","2008","20080805","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$10,437","$0","$10,437","2009","20090602","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$8,209","$0","$8,209","2008","20080227","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$15,971","$0","$15,971","2009","20090121","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$15,971","$0","$15,971","2010","20100419","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$7,176","$0","$7,176","2010","20100504","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$8,209","$0","$8,209","2009","20090610","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$5,961","$0","$5,961","2012","20120724","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$21,807","$0","$21,807","2013","20130520","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$14,373","$0","$14,373","2013","20131022","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$6,996","$0","$6,996","2013","20130124","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$9,634","$0","$9,634","2013","20130522","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$37,416","$0","$37,416","2013","20130117","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$7,578","$0","$7,578","2013","20130127","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$5,503","$0","$5,503","2012","20120919","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$5,503","$0","$5,503","2013","20130520","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$14,373","$0","$14,373","2013","20130521","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$6,458","$0","$6,458","2013","20130605","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$5,596","$0","$5,596","2013","20130126","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$8,209","$0","$8,209","2013","20130522","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$21,807","$0","$21,807","2013","20130520","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$9,634","$0","$9,634","2013","20130128","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$5,961","$0","$5,961","2014","20140710","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$5,961","$0","$5,961","2014","20140708","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$10,437","$0","$10,437","2013","20130507","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$6,458","$0","$6,458","2014","20140311","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
