"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"BOMBARDIER AEROSPACE","Bombardier","$125,000","$0","$125,000","2014","20140214","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"LEARJET INC","Bombardier","$17,000","$0","$17,000","2005","20050427","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2005CE700036 ","","","","","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"LEARJET INC","Bombardier","$10,000","$0","$10,000","2013","20130528","safety-related offenses","aviation safety violation","","MAINTENANCE","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"LEARJET INC","Bombardier","$9,900","$0","$9,900","2005","20050112","safety-related offenses","aviation safety violation","","RECORDS/RPTS ","federal","agency action","Federal Aviation Administration","civil","","","2004WP070069 ","","","","","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"BOMBARDIER TRANSPORTATION USA, INC.","Bombardier","$22,400","$0","$22,400","2006","20060228","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nevada","LAS VEGAS","2575 JOE W. BROWN DRIVE","89109","485112","485112: Commuter Rail Systems","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BOMBARDIER TRANSPORTATION/AUBURN TECHNOLOGY","Bombardier","$5,605","$0","$5,605","2005","20050701","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","AUBURN","151 ORCHARD ST","13021","336399","336399: All Other Motor Vehicle Parts Manufacturing","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BOMBARDIER TRANSPORTATION","Bombardier","$17,000","$0","$17,000","2004","20040218","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","DENVER","9176 PENA BLVD.","80249","485999","485999: All Other Transit and Ground Passenger Transportation","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Bombardier Mass Transit Corporation","Bombardier","$5,034","$0","$5,034","2017","20170608","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","XBBR 2016-2(HS)","","","","","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","https://www.fra.dot.gov/Elib/Document/17839",""
"Bombardier Mass Transit Corporation","Bombardier","$10,907","$0","$10,907","2017","20170608","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","XBBR 2016-3(HSR)","","","","","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","https://www.fra.dot.gov/Elib/Document/17839",""
"BOMBARDIER AEROSPACE","Bombardier","$125,000","$0","$125,000","2014","20140214","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2012WP700063","","","","","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
"Bombardier Services Corp.","Bombardier","$6,585","$0","$6,585","2013","20130716","financial offenses","tax violations","","failure to pay out-of-state business registration fee","state","agency action","Connecticut Attorney General","civil","","","","","","Connecticut","","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","https://portal.ct.gov/AG/Press-Releases-Archived/2013-Press-Releases/Merrill--Jepsen-Collect-13-Million-in-Penalties-from-Companies-Transacting-Business-in-Connecticut-W",""
"Learjet, Inc.","Bombardier","$45,093","$0","$45,093","2019","20190930","employment-related offenses","employment discrimination","","","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","Florida","Ft. Lauderdale","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","https://www.dol.gov/ofccp/foia/files/20190930LearjetCASERedacted.pdf",""
"BOMBARDIER-LEARJET","Bombardier","$6,000","$0","$6,000","2013","20131126","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kansas","WICHITA","1 LEARJET WAY","67277","336411","336411: Aircraft Manufacturing","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BOMBARDIER TRANSPORTATION","Bombardier","$11,000","$0","$11,000","2014","20140806","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","HOUSTON","3115 SOUTH TERMINAL ROADTERMINAL C TRACK","77032","488119","488119: Other Airport Operations","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BOMBARDIER MASS TRANSIT CORPORATION","Bombardier","$5,000","$0","$5,000","2017","20170131","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","GLASSELL PARK","1555 N SAN FERNANDO RD.","90065","488210","488210: Support Activities for Rail Transportation","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BOMBARDIER, INC.","Bombardier","$129,336","$0","$129,336","2018","20180321","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","DFW AIRPORT","2311 SERVICE RD. CROSSUNDER #2","75261","485999","485999: All Other Transit and Ground Passenger Transportation","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LEARJET INC.","Bombardier","$23,374","$0","$23,374","2019","20190419","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","DALLAS","7336 AVIATION PLACE","75235","488190","488190: Other Support Activities for Air Transportation","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Bombardier Transit","Bombardier","$6,045","$0","$6,045","2005","20051229","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","02-2006-4203","","","New York","PLATTSBURGH","71 WALL ST","12901","999999","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"LEARJET, INC","Bombardier","$74,546","$0","$74,546","2006","20061115","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","07-2005-0415","","","","","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
